Order ID,Date,Customer Code,Customer,Product Code,Product,Qty,Unit Price,Discount,Currency
SO001,01/08/2026,C001,ABC Ltd,P001,Laptop,2,1000,5%,USD
SO002,02/08/2026,C002,XYZ Ltd,P002,Monitor,3,500,10%,USD
SO003,03/08/2026,C001,ABC Ltd,P003,Mouse,10,25,0%,USD
SO004,04/08/2026,C003,Delta Co,P004,Keyboard,5,80,5%,USD
SO005,05/08/2026,C004,Nova Ltd,P005,Docking Station,4,220,15%,USD
SO006,06/08/2026,C002,XYZ Ltd,P001,Laptop,1,1200,0%,USD
SO007,07/08/2026,C005,Acme Inc,P006,Webcam,8,90,10%,USD
SO008,08/08/2026,C003,Delta Co,P007,Headset,6,150,20%,USD
SO009,09/08/2026,C001,ABC Ltd,P008,USB-C Cable,20,15,0%,USD
SO010,10/08/2026,C006,Beta Corp,P009,SSD,7,180,5%,USD
